Play Sound,,"distant_battle, loop, 2"
Cliff Wells,C102Post_000000,Sarge! We got Ivan over here.
Lou Rapp,C102Post_000010,Dead?
Cliff Wells,C102Post_000020,Looks live enough to me…
Lou Rapp,C102Post_000030,Lemme see him.
Play Animation Delay,,"6, 13"
Lou Rapp (Moved),,…
Enemy Officer (Armor),C102Post_000040,…
Lou Rapp (Moved),C102Post_000050,…
Enemy Officer (Armor),C102Post_000060,…
Lou Rapp (Moved),C102Post_000070,"Yeah, fuck you too."
John Taber,C102Post_000080,"Radio, get someone to pick him up."
,C102Post_000090,We need to keep moving.
Play Animation,,"21, 21"
Delay,,1
Play Animation,,"13, 13"
Delay,,0.5
Play Sound,,jeep_enter
Play Animation Delay,,"39, 68"
Delay,,1
Play Animation Delay,,"71, 78"
Delay,,1.5
Play Animation Delay,,"82, 89"
Delay,,1.5
Play Sound,,jeep_exit
Play Animation Delay,,"95, 133"
Delay,,1.25
Thomas Grail,C102Post_000100,"Fuck, did you see that? He looked American."
,C102Post_000110,We got sleeper agents here?
,C102Post_000120,Or… Canada? Did Canada go red?
Stop Sound,,"scene_omen, 5"
Lou Rapp (Moved),C102Post_000130,Private.
David Guerrero,C102Post_000140,Let’s go.
Nathan Trucks,C102Post_000150,Heh. What did I tell you?
Thomas Grail,C102Post_000160,"Don’t talk to me, old man."
,,
Begin Scene,,C111Post
Play Sound,,"scene_omen, loop, 2"
Delay,,1
Play Animation Delay,,"1, 70"
Delay,,1
Tobias Bray,C111Post_000000,Smoke?
Enemy Officer,C111Post_000010,"I do, sir, but I don’t need one now."
Tobias Bray,C111Post_000020,Heh. First time I’ve been called “sir” by an EPW…
,C111Post_000030,So you know why we’re here.
Enemy Officer,C111Post_000040,"I do, sir."
Tobias Bray,C111Post_000050,"Might as well make this easy on both of us, then."
,C111Post_000060,Your ID is obviously fake.
,C111Post_000070,So. Where do you really come from?
Nicholas Strow,C111Post_000080,"My ID is real, sir. I’m First Lieutenant Nick Strow."
,C111Post_000090,And I’m from the United States of America.
Stop Sound,,"scene_omen, 3"
,C111Post_000100,Just like you.
,,
Begin Scene,,C112Post
Play Sound,,"distant_battle, loop, 2"
Play Sound,,"scene_worry, loop, 2"
Thomas Grail,C112Post_000000,Hey…
,C112Post_000010,You guys seeing what I’m seeing here?
David Guerrero,C112Post_000020,"Too many questions, Grail."
Cliff Wells,C112Post_000030,Yeah… those are U.S. Army.
,C112Post_000040,They’re using our own equipment against us.
Nathan Trucks,C112Post_000050,Attack from the inside…
,C112Post_000060,Always knew it was gonna go this way.
,C112Post_000070,The Russians got cells in every city.
Thomas Grail,C112Post_000080,We put our guys in Germany and now they pop up here…
,C112Post_000090,Middle of the country. God dammit!
,C112Post_000100,How did we let this happen?
Nathan Trucks,C112Post_000110,Don’t know. Don’t care.
,C112Post_000120,Long as I can shoot more Ivans I’m good.
Cliff Wells,C112Post_000130,"Not sure that’s what we’re doing, boss…"
,,
Begin Scene,,C113Post
Play Sound,,"rain_loop, loop, 2"
Play Sound,,"scene_omen, loop, 2"
Tobias Bray,C113Post_000000,You expect me to believe this story?
Nicholas Strow,C113Post_000010,"I don’t expect anything from you, sir."
Tobias Bray,C113Post_000020,"I’m going to ask you directly, Lieutenant."
,C113Post_000030,Why the attack?
,C113Post_000040,Why not just come over and ask for help?
,C113Post_000050,Ask your fellow Americans.
,C113Post_000060,We’re nice people.
,C113Post_000070,"Nice to our friends, at least."
Nicholas Strow,C113Post_000080,"The answer to that’s above my pay grade, sir."
Tobias Bray,C113Post_000090,You know there’s no way to win this.
,C113Post_000100,"Aside from the element of surprise, you’re at a major disadvantage."
Stop Sound,,"scene_omen, 5"
Nicholas Strow,C113Post_000110,"This isn’t about winning, sir."
,C113Post_000120,It’s about survival.
,,
Begin Scene,,C121Post
Play Sound,,"distant_battle, loop, 2"
Play Sound,,"scene_worry, loop, 2"
Thomas Grail,C121Post_000000,"Fuck, man."
David Guerrero,C121Post_000010,You alright?
Thomas Grail,C121Post_000020,This fucking guy tried to kill me.
,C121Post_000030,"It’s messed up, man. Didn’t sound Russian at all…"
Cliff Wells,C121Post_000050,Do you even know what Russian sounds like?
Thomas Grail,C121Post_000060,Sounded like a guy I know from Abilene.
,C121Post_000070,Just… some guy.
Nathan Trucks,C121Post_000080,"You know that’s treason, right?"
,C121Post_000090,I’m gonna kill every last one of these motherfuckers.
Cliff Wells,C121Post_000100,"Yeah, all by yourself."
Nathan Trucks,C121Post_000110,Least I’m doing something.
,C121Post_000120,Didn’t hear you fire a single shot back there.
Stop Sound,,"scene_worry, 3"
Cliff Wells,C121Post_000130,Well then your eardrums don’t work.
,C121Post_000140,"Musta blown ‘em out in ‘Nam, along with your nuts."
Thomas Grail,C121Post_000150,Pfff— hahahaha.
Nathan Trucks,C121Post_000160,Yeah. Real funny.
,,
Begin Scene,,C122Post
Play Sound,,"scene_omen, loop, 2"
Play Sound,,"rain_loop, loop, 2"
Tobias Bray,C122Post_000000,"Do you consider yourself a loyal man, Lieutenant?"
Nicholas Strow,C122Post_000010,"I do, sir."
Tobias Bray,C122Post_000020,Loyal to your country?
Nicholas Strow,C122Post_000030,"Yes, sir."
Tobias Bray,C122Post_000040,Earlier you said this was about survival.
,C122Post_000050,Are you talking about the survival of your country?
Nicholas Strow,C122Post_000060,…
Tobias Bray,C122Post_000070,Maybe you want that cigarette about now.
Nicholas Strow,C122Post_000080,…
,C122Post_000090,"Yes, sir."
,,
Begin Scene,,C123Post
Play Sound,,"scene_urgency, loop, 2"
John Taber,C131Post_000000,"Well, shit."
,C131Post_000010,"We got those SAM sites cleared, but air support’s still a no-go."
,C131Post_000020,"Apparently the enemy’s flying Phantoms too, so nobody can tell them apart."
,C131Post_000030,It’s just my luck to be in some kind of crazy mess like this.
,C131Post_000040,"You ever think something like this would happen, Sergeant?"
Lou Rapp,C131Post_000050,"It’s my duty to be prepared for anything, sir."
John Taber,C131Post_000060,"Yeah, well, this just takes the cake."
,C131Post_000070,"Frustrating, you know? Just… frustrating."
Stop Sound,,"scene_urgency, 3"
Lou Rapp,C131Post_000080,"Don’t forget the men from the First, sir."
,C131Post_000090,We’re meeting at 1600 hours.
John Taber,C131Post_000100,"Right, right."
,C131Post_000110,"Well, maybe they have a better idea what’s going on here."
,,
Begin Scene,,C131Post
Play Sound,,"scene_motivation, loop, 2"
Cliff Wells,C123Post_000000,"Wow, see those guys? They’re from Fort Riley."
,C123Post_000010,"Yeah, they’re stepping it up."
Thomas Grail,C123Post_000020,Reinforcements. Finally.
Nathan Trucks,C123Post_000030,Hmpf. The “Fighting First.”
,C123Post_000040,"Got in a fight with two of them, once."
Cliff Wells,C123Post_000050,Mmhm. Is that how you lost your nuts?
Thomas Grail,C123Post_000060,Pfff— hahahaha.
Stop Sound,,"scene_motivation, 3"
Nathan Trucks,C123Post_000070,You want your ass kicked too? ‘Cause I can arrange that.
Cliff Wells,C123Post_000090,"Oh, I’m all good, boss."
,,
Begin Scene,,C132Post
Play Sound,,"killing_time, loop, 2"
Cliff Wells,C132Post_000000,Hey. Trade you for that.
Thomas Grail,C132Post_000010,The cookie?
Cliff Wells,C132Post_000020,"No, the applesauce."
Thomas Grail,C132Post_000030,You want the applesauce?
Play Animation,,"2, 124"
Nathan Trucks,C132Post_000040,These MREs are bullshit.
,C132Post_000050,I miss C-rats.
Thomas Grail,C132Post_000060,You sure you don’t just miss the cigarettes?
Cliff Wells,C132Post_000070,"MREs are good eating, man."
Thomas Grail,C132Post_000080,Seriously?
Cliff Wells,C132Post_000090,Trade you some freeze dried potato?
Thomas Grail,C132Post_000100,"Just… here, take it."
,,
Begin Scene,,C133Post
Play Sound,,"scene_devastation, loop, 2"
Play Sound,,"rain_loop, loop, 2"
Tobias Bray,C133Post_000000,We’ve heard from your leaders… they told us quite a story.
,C133Post_000010,Your world was dying.
,C133Post_000020,So you came here.
,C133Post_000030,Something about using a quantum gate?
Nicholas Strow,C133Post_000040,…
Tobias Bray,C133Post_000050,"It must have been hard, what happened to your Earth."
Nicholas Strow,C133Post_000060,Sure. It was.
Tobias Bray,C133Post_000070,Was it a war?
Nicholas Strow,C133Post_000080,…
Tobias Bray,C133Post_000090,Nuclear war?
Stop Sound,,"scene_devastation, 3"
Nicholas Strow,C133Post_000100,"No, no. Not that."
,C133Post_000110,"I almost wish it was, instead of…"
,C133Post_000120,Instead of what actually happened.
,,
Begin Scene,,C211Pre
Play Sound,,"jeep_loop, loop, 2"
Play Sound,,"scene_urgency, loop, 2"
Play Sound,,"jeep_bump, 0, 2.5"
Play Animation Delay,,"60, 127"
Loop Animation,,"128, 143"
Benjamin Dancer,C211Pre_000000,Goddammit!
,C211Pre_000010,"You don’t need to hit every hole in the road, trooper."
Danny Portela,C211Pre_000020,"Sorry, sir!"
Benjamin Dancer,C211Pre_000030,Gonna be sorer than a pig that lost a shit-eating contest.
Danny Portela,C211Pre_000040,"I’ll try to avoid them, sir."
Benjamin Dancer,C211Pre_000050,"No, don’t slow down! Ivan’ll notice us any moment now."
,C211Pre_000060,Reconnoitering point should be about two klicks out.
,C211Pre_000070,Ready to pop the lid on whatever these fuckos are hiding?
Danny Portela,C211Pre_000080,"Sir, yes sir!"
,,
Begin Scene,,C211Post
Delay,,0.01
Play Sound,,jeep_enter
Play Animation Delay,,"1, 41"
Delay,,1
Play Sound,,"scene_omen, loop, 2"
Benjamin Dancer,C211Post_000000,Well I’ll be fucked harder than a spatchcocked turkey.
,C211Post_000010,"You ever see anything like that, private?"
Danny Portela,C211Post_000020,No sir.
,C211Post_000030,"It looks… like nothing, sir."
Benjamin Dancer,C211Post_000040,It looks like a whole goddamn lot of nothing.
,C211Post_000050,Tar your breeches. We’re going in.
Stop Sound,,"scene_omen, 3"
Danny Portela,C211Post_000060,"Into that, sir?"
Benjamin Dancer,C211Post_000070,"That’s right, trooper. Step on it!"
Danny Portela,C211Post_000080,Yes sir!
Play Sound,,jeep_exit
Play Animation Delay,,"42, 62"
,,
Begin Scene,,C212Post
Benjamin Dancer,C212Post_000000,We ain’t in Kansas anymore…
Danny Portela,C212Post_000010,"Uh, sir, we were in Wisconsin?"
Benjamin Dancer,C212Post_000020,"That was a quote, dumbass."
,C212Post_000030,What kind of uneducated rube hasn’t seen Wizard of Oz?
Danny Portela,C212Post_000040,"Sorry, sir."
Play Sound,,"scene_omen, loop, 5"
Benjamin Dancer,C212Post_000050,Look at this place. It’s a god damned hellhole.
,C212Post_000060,What kind of fucked-up water is that?
Danny Portela,C212Post_000070,"I— I don’t know, sir."
Benjamin Dancer,C212Post_000080,Looks like transmission fluid a dog threw up.
,C212Post_000090,Your dog ever drink transmission fluid?
Stop Sound,,"scene_omen, 2"
,C212Post_000100,Don’t answer that. Keep moving.
Danny Portela,C212Post_000110,Yes sir.
Play Sound,,jeep_exit
Play Animation Delay,,"2, 34"
,,
Begin Scene,,C213Post
Play Sound,,"scene_omen, loop, 2"
Benjamin Dancer,C213Post_000000,Well. I’ll be more fucked than an Amsterdam whorehouse on discount day.
,C213Post_000010,…
,C213Post_000020,"Quit wheezing, trooper."
,C213Post_000030,I don’t know what the fuck’s going on but I’ll be damned if we act like it.
Danny Portela,C213Post_000040,Fuck… no wonder they wanna come here so bad.
,C213Post_000050,Their whole world’s gone to shit!
Benjamin Dancer,C213Post_000060,Likely ours will too if we don’t act fast.
,C213Post_000070,Put me through to command. They need to hear about this ASAP.
,C213Post_000080,No way we’re gonna let those things through.
,,
Begin Scene,,C221Pre
Play Sound,,"scene_urgency, loop, 2"
Play Sound,,"apc_loop, loop, 2"
Play Sound,,"tracked_heavy_slow, 0, 2"
Play Sound,,"tank_loop, loop, 3"
Play Animation Delay,,"1, 90"
Loop Animation,,"91, 180"
Cliff Wells,C221Pre_000000,Check it out. Those guys are from the 2nd Armored.
Thomas Grail,C221Pre_000010,Oh shit… an Abrams!
Play Sound,,"tracked_heavy_fast, 0, 1"
Stop Sound,,"tank_loop, 5"
Play Animation Delay,,"181, 270"
Loop Animation,,"271, 285"
David Guerrero,C221Pre_000020,Finally. That’s gonna be a big help.
Thomas Grail,C221Pre_000030,Yeah… unless they have the same thing.
David Guerrero,C221Pre_000040,"Grail, you need to learn to stop thinking."
,C221Pre_000050,Thinking never suits an infantryman.
,C221Pre_000060,"Isn’t that right, Sergeant?"
Lou Rapp,C221Pre_000070,Y’all need to shut the fuck up.
David Guerrero,C221Pre_000080,See what I mean?
,,
Begin Scene,,C221Post
Play Sound,,"apc_loop, loop, 2"
Play Sound,,"scene_urgency, loop, 2"
Play Sound,,"tracked_light_fast_long, 0"
Play Animation Delay,,"1, 137"
Loop Animation,,"138, 152"
Cliff Wells,C221Post_000000,"Hey, they got Bradleys too."
,C221Post_000010,Fancy little shits.
Thomas Grail,C221Post_000020,Wish I was in one of those… instead of this fucking thing.
Stop Sound,,"scene_urgency, 2"
Play Animation,,"152, 152"
Play Sound,,"detonate_debris, 0, 0.5"
Delay,,1.5
Play Animation Delay,,"153, 198"
Loop Animation,,"199, 214"
,C221Post_000030,Shit!
Play Sound,,fire_fade
Play Animation Delay,,"215, 295"
Loop Animation,,"296, 311"
Cliff Wells,C221Post_000040,Oh! God damn.
,,
Begin Scene,,C222Post
Play Sound,,"apc_loop, loop, 2"
Play Sound,,"scene_worry, loop, 2"
Thomas Grail,C222Post_000000,Hey. Why do we still call ‘em Ivans even though we know they’re not Russians?
,C222Post_000010,Is that official?
David Guerrero,C222Post_000020,Heck if I know what’s official right now.
,C222Post_000030,I’ve heard like three different ROEs in three days.
Thomas Grail,C222Post_000040,"Yeah, are we even allowed to shoot them?"
Cliff Wells,C222Post_000050,"I sure fucking hope so, seeing as that’s all we been doing for the last two weeks."
Nathan Trucks,C222Post_000060,"It’s not that hard to figure out, dumbass."
,C222Post_000070,"Guy tries to kill you, you kill him back."
Thomas Grail,C222Post_000080,"This is different. I mean they’re kind of like… Americans, right?"
,C222Post_000090,"To them, they’re the real Americans."
Lou Rapp,C222Post_000100,"To us, they’re Ivans."
,C222Post_000110,That’s all that matters.
,,
Begin Scene,,C223Post
Play Sound,,"scene_motivation, loop, 2"
John Taber,C223Post_000000,Air power. Finally!
,C223Post_000010,Air superiority’s gonna be the key to turning this thing around.
Lou Rapp,C223Post_000020,"If you say so, sir."
John Taber,C223Post_000030,I do say so.
,C223Post_000040,"Don’t underestimate air power, sergeant."
,C223Post_000050,Future warfare’s going to be all about it.
Lou Rapp,C223Post_000060,"That what they say at West Point, sir."
John Taber,C223Post_000070,"Wouldn’t know, sergeant. Never went there."
Lou Rapp,C223Post_000080,"Sorry for the assumption, sir."
John Taber,C223Post_000090,I’ll let it slide. This time.
,,
Begin Scene,,C233Post
Play Sound,,"rain_loop, loop, 2"
Tobias Bray,C233Post_000000,"I’ll lay it out straight, Lieutenant."
,C233Post_000010,We can’t help you unless we know the full story.
,C233Post_000020,What destroyed your country?
Nicholas Strow,C233Post_000030,Well…
Play Sound,,"scene_devastation, loop, 2"
,C233Post_000040,We found their world.
,C233Post_000050,They were dormant. Waiting.
,C233Post_000060,Waiting for someone to open the next gate.
,C233Post_000070,"We tried to study them, use them against themselves, but…"
,C233Post_000080,It was already too late.
,C233Post_000090,They’d already started… eating… everything.
,C233Post_000100,We had no choice.
Stop Sound,,"scene_devastation, 5"
Tobias Bray,C233Post_000110,I see.
,C233Post_000120,…
,C233Post_000130,"Thank you, Lieutenant."
,,
Begin Scene,,C232Pre
Play Sound,,"scene_motivation, loop, 2"
Play Sound,,"helicopter_loop, loop, 2"
Benjamin Dancer,C232Pre_000000,"Now don’t start driving ‘til the helicopter lands, got that?"
Danny Portela,C232Pre_000010,"I got it, sir."
Benjamin Dancer,C232Pre_000020,"I tell you, this one time this guy was itchin’ so hard to get out there he just gunned it way too soon."
,C232Pre_000030,Helicopter’s wasn’t even close to landed.
,C232Pre_000040,"He and the Jeep fall a hundred feet, maybe more."
,C232Pre_000050,It was all bouncing on its tires and shit like— bwoump!
Danny Portela,C232Pre_000060,Was he okay?
Benjamin Dancer,C232Pre_000070,"No, he fucking died."
,,
Begin Scene,,C232Post
Play Sound,,"scene_worry, loop, 2"
Benjamin Dancer,C232Post_000000,"This is some real ass end of nowhere country, I tell you what."
,C232Post_000010,Must get buried under ten feet of snow in the winter.
Danny Portela,C232Post_000020,"It does, sir."
Benjamin Dancer,C232Post_000030,"What, you from around here?"
Danny Portela,C232Post_000040,"Escanaba, sir."
Benjamin Dancer,C232Post_000050,Escanaba!
Stop Sound,,"scene_worry, 3"
,C232Post_000060,Home of… hell if I know.
Danny Portela,C232Post_000070,"Not much, sir."
,C232Post_000080,Not much.
,,
Begin Scene,,C241Pre
Play Sound,,"plane_loop, loop, 2"
Play Sound,,"scene_motivation, loop, 2"
Paul DeMarco,C241Pre_000000,Lotta lakes and trees down there…
,C241Pre_000010,It’s gonna be a real quagmire.
Harry Blasco,C241Pre_000020,A real what?
Thomas Alvarez,C241Pre_000030,"Doesn’t matter, long as we hit ‘em hard and fast."
Paul DeMarco,C241Pre_000040,"That’s what I’m saying, sir."
,C241Pre_000050,Maneuverability is a concern on this terrain.
Thomas Alvarez,C241Pre_000060,"Nobody’s asking you to dance, private."
,C241Pre_000070,"We drop in, drive up, and kick Ivan in the nuts."
Harry Blasco,C241Pre_000080,Hell yeah. Death from above.
Paul DeMarco,C241Pre_000090,"Yes, sir…"
Thomas Alvarez,C241Pre_000100,Don’t call me sir. I work for a living.
,,
Begin Scene,,C241Post
Play Sound,,"scene_urgency, loop, 2"
Paul DeMarco,C241Post_000000,Damn. Glad ours still works…
Ted Slutske,C241Post_000010,Maybe being dropped from a plane isn’t so good for the tank.
Thomas Alvarez,C241Post_000020,A small number of Sheridans became inoperable after hitting the ground.
,C241Post_000030,There’s reinforcements on the way.
Paul DeMarco,C241Post_000040,They gonna drop the reinforcements too?
Ted Slutske,C241Post_000050,Air Force special delivery…
Harry Blasco,C241Post_000060,Hell yeah.
,,
Begin Scene,,C242Post
Play Sound,,"tank_loop, loop, 2"
Play Sound,,"scene_motivation, loop, 2"
Ted Slutske,C242Post_000000,Fuck… my legs are fucking killing me.
Paul DeMarco,C242Post_000010,I always thought you were tall for a tanker…
Harry Blasco,C242Post_000020,You can always get out and walk.
Ted Slutske,C242Post_000030,"I’m fine, I can deal with it!"
Thomas Alvarez,C242Post_000040,"You better, ‘cause we aren’t close to finished here."
,C242Post_000050,We’re the fucking 82nd. Tip of the spear.
Harry Blasco,C242Post_000060,Hell yeah!
,,
Begin Scene,,C243Post
Play Sound,,"distant_battle, loop, 2"
Play Sound,,"killing_time, loop, 2"
Play Animation,,"1, 56"
Paul DeMarco,C243Post_000000,"God dammit, I always forget how much that thing kicks."
,C243Post_000020,Feels like I’m being shot out of a cannon every time.
Play Animation,,"57, 81"
Thomas Alvarez,C243Post_000030,Love it. Lets you know you’re alive.
Harry Blasco,C243Post_000040,Hell yeah.
Paul DeMarco,C243Post_000050,Just don’t want my head to snap off in there.
Play Animation,,"82, 113"
Thomas Alvarez,C243Post_000060,Where’s Ted? He still with us?
Ted Slutske,C243Post_000070,Yeah… my legs are just… I’m fine.
Thomas Alvarez,C243Post_000080,Alright. Let’s keep moving!
,,
Begin Scene,,C251Pre
Play Sound,,"scene_worry, loop, 2"
Thomas Grail,C251Pre_000000,"When I get back home, first thing I’m gonna do is take a goddamn shower."
,C251Pre_000010,I mean like a real fucking shower.
Cliff Wells,C251Pre_000020,Oh yeah? Well I’m gonna have a big ol’ cookout.
,C251Pre_000030,"All my friends, everyone from the neighborhood."
,C251Pre_000040,We all gonna eat and eat ‘til we can’t eat no more.
David Guerrero,C251Pre_000050,Heh.
,C251Pre_000060,I’m gonna get back with my girl…
Thomas Grail,C251Pre_000070,"Heh, heh, oh yeah…"
David Guerrero,C251Pre_000080,She’s gonna have— by the time I’m done she’s having twins. Triplets.
,C251Pre_000090,I promise. I promise.
Thomas Grail,C251Pre_000100,(snickering)
Nathan Trucks,C251Pre_000110,"I’m going to the liquor store, getting a bottle of Hennessy VSOP…"
,C251Pre_000120,And I’m drinking that whooole bottle in one night.
Stop Sound,,"scene_omen, 5"
Cliff Wells,C251Pre_000130,"Cognac? What the fuck, man."
Nathan Trucks,C251Pre_000140,What? It’s good stuff.
Thomas Grail,C251Pre_000150,"Hey, whatever floats your boat, right."
Cliff Wells,C251Pre_000160,Cognac. Alright.
,,
Begin Scene,,C251Post
Play Sound,,"distant_battle, loop, 2"
Play Sound,,"scene_omen, loop, 2"
Thomas Grail,C251Post_000000,"God damn, they’re fighting hard."
David Guerrero,C251Post_000010,Must be a lot at stake for them.
Cliff Wells,C251Post_000020,"Hell, there’s a lot at stake for us too."
Thomas Grail,C251Post_000030,Why don’t we just… let them stay?
,C251Post_000040,We don’t bother them and they don’t bother us.
Cliff Wells,C251Post_000050,"Look, you don’t know how many there are."
,C251Post_000060,Where are they all gonna go?
,C251Post_000070,You gonna just let ‘em stay at your house?
Thomas Grail,C251Post_000080,"It just… feels bad, man."
,C251Post_000090,Fuck this shit.
,,
Begin Scene,,C252Post
Play Sound,,"scene_devastation, loop, 2"
Play Sound,,"distant_battle, loop, 2"
Cliff Wells,C252Post_000000,Man. Shootin’ Ivans all day and it feels like we ain’t doing shit.
Nathan Trucks,C252Post_000010,Just gotta keep killin’ ‘em ‘til there’s none left.
Thomas Grail,C252Post_000020,"Fuck, man, how can you say shit like that?"
Nathan Trucks,C252Post_000030,Hey! I’m doing my job.
,C252Post_000040,The fuck are you doing?
,C252Post_000050,"If you don’t like it, leave. Go AWOL."
,C252Post_000060,Or defect to those commie fucks if you love them so much.
David Guerrero,C252Post_000070,We already established they’re not Communists.
Nathan Trucks,C252Post_000080,You think I give a shit?
,C252Post_000090,People like you are why Vietnam went the way it did.
,C252Post_000100,"I’m not gonna let that happen again, you hear me?"
Stop Sound,,"scene_devastation, 3"
Thomas Grail,C252Post_000110,…
David Guerrero,C252Post_000120,…
Cliff Wells,C252Post_000130,"Alright, boss…"
,,
Begin Scene,,C253Post
Play Sound,,"scene_motivation, loop, 2"
John Taber,C253Post_000000,I really thought this would be over by now.
,C253Post_000010,We’re the best military in the world but they’re hanging on somehow.
,C253Post_000020,"It’s like every time we almost have them, they find some way to fuck us up."
Lou Rapp,C253Post_000030,"Well they must have similar training, sir."
,C253Post_000040,Maybe with some added motivation.
John Taber,C253Post_000050,"Yeah, well, our boys better get motivated fast."
,C253Post_000060,We’re going through the gate.
Lou Rapp,C253Post_000070,Sir.
John Taber,C253Post_000080,Word from command.
,C253Post_000090,It’s not enough to push them back here.
,C253Post_000100,As long as the quantum gates exist they’re a threat.
,C253Post_000110,So… we’re gonna take ’em out.
,,
Begin Scene,,C311Pre
Play Sound,,"jeep_loop, loop, 2"
Play Sound,,"scene_urgency, loop, 2"
Benjamin Dancer,C311Pre_000000,Gah. Knew they’d send us back to this piss-soaked shithole.
,C311Pre_000010,Fuckin’ alien-infested clown town.
,C311Pre_000020,Stank-ass doomsday dimension.
Danny Portela,C311Pre_000030,Yes sir.
Benjamin Dancer,C311Pre_000040,"All right, let’s get a move on and reconnoiter the hell outta this turd farm."
,C311Pre_000050,Then they can blow the gates sky-high and we never have to come back again.
Danny Portela,C311Pre_000060,Yes sir!
,,
Begin Scene,,C311Post
Play Sound,,"scene_devastation, loop, 2"
Play Sound,,"queen_appear, 0, 1.5"
Delay,,3
Benjamin Dancer,C311Post_000000,This whole fucking world is a grade-A shitshow. Did I mention that?
Danny Portela,C311Post_000010,"I believe you have, sir."
Benjamin Dancer,C311Post_000020,Acid lakes. Demon bee swarms.
,C311Post_000030,"Those fucking… other things, whatever those are."
,C311Post_000040,Can you imagine?
Danny Portela,C311Post_000050,"We are seeing them, sir."
Benjamin Dancer,C311Post_000060,"You ever think you’d be in a place like this when you enlisted, Danny?"
Danny Portela,C311Post_000070,"No, sir."
Benjamin Dancer,C311Post_000080,"That’s what I’m saying— beyond the imagination, eh?"
,C311Post_000090,"Anyway, enough chit-chat. Ready and forward, trooper."
Danny Portela,C311Post_000100,Ready and forward!
Play Sound,,jeep_exit
Play Animation Delay,,"2, 75"
,,
Begin Scene,,C312Post
Play Sound,,"scene_urgency, loop, 2"
Play Sound,,"jeep_loop, loop, 2"
Benjamin Dancer,C312Post_000000,"Let’s keep up the speed, trooper."
Jerome Sand,C312Post_000010,"My foot’s all the way down, sir."
Benjamin Dancer,C312Post_000020,Well then this thing is a piece of shit.
Jerome Sand,C312Post_000030,"No argument there, sir."
Benjamin Dancer,C312Post_000040,…
Jerome Sand,C312Post_000050,…
Benjamin Dancer,C312Post_000060,Don’t worry about Danny. Likely he’s gone by now.
Jerome Sand,C312Post_000070,"I know, sir."
Benjamin Dancer,C312Post_000080,Yep. This place can go fuck itself.
,C312Post_000090,Fuckity fuck fuck FUCK.
,C312Post_000100,…
,C312Post_000110,"Don’t swear, trooper."
,C312Post_000120,It’s unbecoming.
Jerome Sand,C312Post_000130,Yes sir.
,,
Begin Scene,,C313Post
Play Sound,,"jeep_loop, loop, 2"
Play Sound,,"scene_worry, loop, 2"
Benjamin Dancer,C313Post_000000,Goddammit. Why does everything here stink to high heaven?
Jerome Sand,C313Post_000010,"Don’t know, sir."
Benjamin Dancer,C313Post_000020,"Smells like Uncle Petey’s rotten teeth, may he rest in peace."
Jerome Sand,C313Post_000030,Yes sir.
Benjamin Dancer,C313Post_000040,"I tell you, he’d try to talk to us sometimes…"
